,x,y,z
0,2.8,0.2,-4.0
1,2.775,0.239755,-3.9
2,2.75,0.279265,-3.8
3,2.725,0.31853,-3.6999999999999997
4,2.7,0.35755,-3.5999999999999996
5,2.6750000000000003,0.396325,-3.4999999999999996
6,2.6500000000000004,0.434855,-3.3999999999999995
7,2.6250000000000004,0.47314,-3.2999999999999994
8,2.6000000000000005,0.51118,-3.1999999999999993
9,2.5750000000000006,0.548975,-3.099999999999999
10,2.5500000000000007,0.586525,-2.999999999999999
11,2.525000000000001,0.62383,-2.899999999999999
12,2.500000000000001,0.66089,-2.799999999999999
13,2.475000000000001,0.697705,-2.699999999999999
14,2.450000000000001,0.734275,-2.5999999999999988
15,2.425000000000001,0.7706000000000001,-2.4999999999999987
16,2.4000000000000012,0.8066800000000001,-2.3999999999999986
17,2.3750000000000013,0.8425150000000001,-2.2999999999999985
18,2.3500000000000014,0.8781050000000001,-2.1999999999999984
19,2.3250000000000015,0.9134500000000001,-2.0999999999999983
20,2.3000000000000016,0.9485500000000001,-1.9999999999999982
21,2.2750000000000017,0.9834050000000001,-1.8999999999999981
22,2.2500000000000018,1.0180150000000001,-1.799999999999998
23,2.225000000000002,1.05238,-1.699999999999998
24,2.200000000000002,1.0865,-1.5999999999999979
25,2.175000000000002,1.1203750000000001,-1.4999999999999978
26,2.150000000000002,1.1540050000000002,-1.3999999999999977
27,2.125000000000002,1.1873900000000002,-1.2999999999999976
28,2.1000000000000023,1.2205300000000001,-1.1999999999999975
29,2.0750000000000024,1.2534250000000002,-1.0999999999999974
30,2.0500000000000025,1.2860750000000003,-0.9999999999999974
31,2.0250000000000026,1.3184800000000003,-0.8999999999999975
32,2.0000000000000027,1.3506400000000003,-0.7999999999999975
33,1.9750000000000028,1.3825550000000002,-0.6999999999999975
34,1.9500000000000028,1.4142250000000003,-0.5999999999999975
35,1.925000000000003,1.4456500000000003,-0.49999999999999756
36,1.900000000000003,1.4768300000000003,-0.3999999999999976
37,1.875000000000003,1.5077650000000002,-0.2999999999999976
38,1.8500000000000032,1.5384550000000004,-0.1999999999999976
39,1.8250000000000033,1.5689000000000004,-0.09999999999999759
40,1.8000000000000034,1.5991000000000004,2.4147350785597155e-15
41,1.7750000000000035,1.6290550000000004,0.10000000000000242
42,1.7500000000000036,1.6587650000000003,0.20000000000000243
43,1.7250000000000036,1.6882300000000003,0.30000000000000243
44,1.7000000000000037,1.7174500000000004,0.40000000000000246
45,1.6750000000000038,1.7464250000000003,0.5000000000000024
46,1.650000000000004,1.7751550000000003,0.6000000000000024
47,1.625000000000004,1.8036400000000004,0.7000000000000024
48,1.600000000000004,1.8318800000000004,0.8000000000000024
49,1.5750000000000042,1.8598750000000004,0.9000000000000024
50,1.5500000000000043,1.8876250000000003,1.0000000000000024
51,1.5250000000000044,1.9151300000000004,1.1000000000000025
52,1.5000000000000044,1.9423900000000005,1.2000000000000026
53,1.4750000000000045,1.9694050000000005,1.3000000000000027
54,1.4500000000000046,1.9961750000000005,1.4000000000000028
55,1.4250000000000047,2.0227000000000004,1.5000000000000029
56,1.4000000000000048,2.0489800000000002,1.600000000000003
57,1.3750000000000049,2.075015,1.700000000000003
58,1.350000000000005,2.1008050000000003,1.8000000000000032
59,1.325000000000005,2.1263500000000004,1.9000000000000032
60,1.3000000000000052,2.1516500000000005,2.000000000000003
61,1.2750000000000052,2.1767050000000006,2.100000000000003
62,1.2500000000000053,2.2015150000000006,2.2000000000000033
63,1.2250000000000054,2.2260800000000005,2.3000000000000034
64,1.2000000000000055,2.2504000000000004,2.4000000000000035
65,1.1750000000000056,2.2744750000000002,2.5000000000000036
66,1.1500000000000057,2.298305,2.6000000000000036
67,1.1250000000000058,2.3218900000000002,2.7000000000000037
68,1.1000000000000059,2.3452300000000004,2.800000000000004
69,1.075000000000006,2.3683250000000005,2.900000000000004
70,1.050000000000006,2.3911750000000005,3.000000000000004
71,1.0250000000000061,2.4137800000000005,3.100000000000004
72,1.0000000000000062,2.4361400000000004,3.200000000000004
73,0.9750000000000062,2.4582550000000003,3.3000000000000043
74,0.9500000000000062,2.480125,3.4000000000000044
75,0.9250000000000062,2.5017500000000004,3.5000000000000044
76,0.9000000000000061,2.5231300000000005,3.6000000000000045
77,0.8750000000000061,2.5442650000000007,3.7000000000000046
78,0.8500000000000061,2.5651550000000007,3.8000000000000047
79,0.8250000000000061,2.5858000000000008,3.900000000000005
80,0.800000000000006,2.6062000000000007,4.000000000000004
81,0.775000000000006,2.6263550000000007,4.100000000000004
82,0.750000000000006,2.6462650000000005,4.200000000000004
83,0.725000000000006,2.6659300000000004,4.300000000000003
84,0.700000000000006,2.6853500000000006,4.400000000000003
85,0.6750000000000059,2.7045250000000007,4.500000000000003
86,0.6500000000000059,2.723455000000001,4.600000000000002
87,0.6250000000000059,2.742140000000001,4.700000000000002
88,0.6000000000000059,2.760580000000001,4.800000000000002
89,0.5821377875893139,2.7735784691430303,4.76000031018538
90,0.5642755751786219,2.7863319382860596,4.720000620370759
91,0.54641336276793,2.798840407429089,4.680000930556138
92,0.528551150357238,2.811103876572118,4.640001240741516
93,0.510688937946546,2.8231223457151473,4.600001550926895
94,0.492826725535854,2.8348958148581764,4.560001861112274
95,0.47496451312516197,2.8464242840012055,4.520002171297652
96,0.45710230071446994,2.8577077531442345,4.480002481483031
97,0.4392400883037779,2.8687462222872635,4.44000279166841
98,0.4213778758930859,2.879539691430293,4.400003101853788
99,0.40351566348239387,2.890088160573322,4.360003412039167
100,0.38565345107170185,2.9003916297163514,4.320003722224546
